n_subs,rank,genotype,mu_real,sigma_real
15,22,2-1-4-1-1-1-1-1-1-0-1-1-1-4-1-3,662.62256,134.27972
15,23,3-1-4-1-1-1-0-1-1-1-1-1-1-4-1-2,662.62256,134.27972
15,24,3-1-4-1-1-2-1-1-1-0-2-1-1-4-1-3,658.60095,130.4778
15,25,3-1-4-1-1-2-0-1-1-1-2-1-1-4-1-3,658.60095,130.4778
15,26,3-1-4-1-1-1-1-1-1-0-2-1-1-4-1-2,660.4112,133.61804
15,27,1-1-4-1-1-3-0-1-3-1-1-1-1-4-1-1,646.221,119.77267
15,28,2-1-4-1-1-1-0-1-1-1-2-1-1-4-1-1,652.00073,125.98654
15,29,3-1-4-1-1-2-1-1-1-0-3-1-1-4-1-2,654.53186,128.70445
15,30,3-1-4-1-1-1-1-1-1-0-1-1-1-4-1-2,659.499,133.91504
15,31,2-1-4-1-1-1-0-1-1-1-1-1-1-4-1-3,659.499,133.91504
15,32,3-1-3-1-1-1-1-1-1-0-3-1-1-4-1-3,630.9315,105.47914
15,33,3-1-4-1-1-3-0-1-1-1-1-1-1-3-1-3,630.9315,105.47914
15,34,3-1-4-1-1-1-0-1-1-1-2-1-1-4-1-3,655.2191,130.73363
15,35,3-1-3-1-1-1-1-1-1-0-2-1-1-4-1-3,633.98157,110.341194
15,36,2-1-3-1-1-1-1-1-1-0-3-1-1-4-1-3,633.5477,110.09397
15,37,3-1-4-1-1-2-0-2-1-1-1-1-1-4-1-1,659.9624,136.95573
15,38,2-1-4-1-1-1-0-1-1-1-1-1-1-4-1-2,659.3564,136.96931
15,39,1-1-4-1-1-1-1-1-1-0-1-1-1-4-1-1,642.9977,120.659195
15,40,3-1-4-1-1-1-1-1-1-0-1-1-1-4-1-1,645.2073,123.01151
15,41,2-1-4-1-1-2-1-1-1-0-1-1-1-4-1-3,655.6588,134.18384
15,42,3-1-4-1-1-1-0-1-2-1-1-1-1-4-1-1,656.34094,134.9229
15,43,3-1-4-1-1-2-1-1-1-0-2-1-1-4-1-2,654.1096,133.5564
15,44,2-1-4-1-1-1-0-1-3-1-1-1-1-4-1-1,649.5372,129.16371
15,45,1-1-4-1-1-1-0-1-1-1-2-1-1-4-1-1,640.4522,120.772514
15,46,3-1-4-1-1-2-0-1-1-1-2-1-1-3-1-1,624.73694,105.17693
15,47,2-1-3-1-1-1-1-1-1-0-2-1-1-4-1-3,634.088,115.006294
15,48,3-1-4-1-1-2-0-1-1-1-1-1-1-3-1-2,634.088,115.006294
15,49,2-1-4-1-1-1-1-1-1-0-1-1-1-4-1-1,644.7684,125.91882
15,50,3-1-4-1-1-2-1-1-1-0-1-1-1-4-1-1,641.4012,122.98821
15,51,3-1-4-1-1-1-0-1-1-1-1-1-1-3-1-1,623.4076,105.3999
15,52,3-1-4-1-1-2-1-3-1-0-2-1-1-4-1-3,652.02,134.35287
15,53,3-1-4-1-1-2-0-3-1-1-2-1-1-4-1-1,644.5824,126.96669
15,54,2-1-4-1-1-3-1-1-1-0-3-1-1-4-1-2,644.2056,127.041695
15,55,2-1-4-1-1-2-0-1-3-1-1-1-1-4-1-3,654.50146,137.43465
15,56,2-1-4-1-1-3-1-1-1-0-2-1-1-4-1-3,645.5901,128.63039
15,57,2-1-4-1-1-1-1-3-1-0-1-1-1-4-1-3,655.0338,138.11305
15,58,4-1-4-1-1-2-0-1-1-1-1-1-1-4-1-3,670.46655,153.8839
15,59,1-1-4-1-1-3-1-1-1-0-1-1-1-4-1-1,632.8395,116.786644
15,60,2-1-4-1-1-2-1-1-1-0-1-1-1-4-1-2,652.76636,136.86513
15,61,3-1-4-1-1-3-0-1-1-1-2-1-1-3-1-2,625.9208,110.067764
15,62,3-1-4-1-1-1-1-3-1-0-2-1-1-4-1-1,642.2427,126.55259
