Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,target
3,1,0,0,3,0,3,0,0,0,0,1,1,0,0,0,-1.308324590809167
0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0.611161137153574
0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,-1.2013193294053688
0,0,0,0,0,0,1,1,0,4,1,0,2,0,0,0,-0.5395855552758402
0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,-2.762615571114042
0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0.27149009148436076
0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,3,0.07709559991102652
0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,1.4011482274831981
0,0,0,2,0,2,0,0,3,2,0,0,0,0,3,2,-0.033429964284986374
0,0,0,0,4,0,2,0,0,0,0,0,0,0,2,3,0.07734958782989773
1,0,0,1,0,0,0,0,3,4,0,0,3,0,0,2,-1.6756909024653148
0,2,0,0,0,3,0,0,0,0,4,4,0,0,0,0,-0.8136528821501408
1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,-0.6134174243591904
3,0,4,0,0,0,0,0,0,0,0,0,3,2,0,3,0.6136775829331063
0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.11574560673213943
0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1.1586419231943672
1,0,0,0,0,3,3,4,3,0,4,0,0,0,0,0,-1.980363773563617
2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4,-0.6437735161628717
0,0,0,1,0,3,0,0,3,0,0,4,0,4,0,1,-1.023479407544187
0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,-0.2875206877901977
0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1.318881842927328
1,4,1,0,4,0,0,0,2,4,0,0,0,0,0,0,-1.0008321514448222
0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,2,1.4338574871185665
2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,-1.3753267549907233
0,4,0,0,0,0,0,0,3,0,2,0,0,1,0,0,1.1946280805330316
0,1,0,0,0,0,0,0,0,1,2,1,0,0,3,0,0.938726937189436
0,0,4,0,1,0,0,0,0,0,0,0,0,4,0,0,2.6832731946145367
0,0,0,0,2,0,3,0,0,0,2,0,2,0,0,4,-0.2002229235081131
0,0,3,2,0,0,0,2,0,3,0,2,0,0,0,0,0.22601945075855617
0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0.014618351450792731
0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1.1410683781410285
0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0.2663657340378454
0,0,0,2,0,0,0,0,0,0,2,2,3,0,1,1,-2.035218360792009
3,0,0,0,4,1,2,0,0,0,0,3,3,0,0,0,-2.479645816500014
0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1.2639146241515793
0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,-0.4065813043432847
0,0,0,0,1,0,2,1,0,0,2,0,0,3,4,0,1.2976284967160547
1,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0,-1.4024127523389356
0,3,4,0,0,0,3,1,0,4,0,0,0,4,0,0,-0.13342258901208912
2,0,2,0,0,0,2,0,0,3,4,0,3,0,0,0,-1.039722539689152
0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0.8204108983151832
0,0,0,0,4,0,4,0,3,0,2,0,1,0,0,0,-0.8155872722822595
