Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,target
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-0.26686705747336564
0,0,0,1,0,0,0,0,4,0,0,0,0,0,4,0,0.7167724289899671
0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,-1.0581441363795152
0,0,3,0,2,0,4,0,0,3,0,0,0,0,4,4,0.7548607918454613
0,0,2,0,0,0,0,0,0,0,4,0,0,0,3,0,0.9137022704165105
0,0,2,0,0,1,0,1,2,1,0,0,0,4,0,0,-2.674403848478337
1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0.8667388223246125
4,2,4,2,0,0,0,0,0,0,0,2,0,0,0,0,-0.1512180960800722
4,0,3,0,0,0,0,0,3,0,0,0,1,0,3,2,0.9956399590405255
0,0,4,3,0,4,0,2,0,0,0,0,0,0,0,0,-0.5223084144533133
2,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,-0.5705617888696113
0,4,0,0,0,0,0,0,0,4,0,3,0,0,2,0,0.9107915626940043
0,2,0,1,0,0,2,0,0,0,0,3,3,0,0,0,-0.5217855817442466
0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,-1.1578712079295175
0,0,0,0,0,0,0,2,0,4,0,0,3,3,0,0,0.2074263530390624
1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0.23081739828703257
0,1,0,0,0,0,2,0,0,0,0,1,1,2,2,0,-0.15608207412660632
0,0,4,0,0,0,0,4,0,2,0,1,0,1,0,0,-1.9571296549100101
0,1,1,0,0,0,0,2,0,4,0,0,1,0,0,0,0.8496250372898719
0,2,0,1,1,0,0,3,0,0,0,2,0,0,0,0,0.27895721997433043
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.5637682969827524
0,0,2,0,0,0,0,0,3,4,0,0,0,0,0,0,0.7434328125218187
0,0,3,0,0,4,0,0,3,0,0,4,4,0,2,0,0.9412196094355666
0,4,0,1,0,0,0,0,1,0,0,0,0,3,0,0,-0.4735844905988551
0,0,0,0,2,4,0,0,0,0,0,1,4,0,1,0,0.7414795421977908
0,2,4,0,0,4,0,0,0,0,0,4,0,0,0,0,-1.1504861959139532
0,1,0,2,0,3,0,0,0,3,0,2,3,0,0,0,-0.019804911582316252
0,3,0,3,0,2,0,0,2,0,0,2,0,0,3,0,-0.8040580598126006
0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.6929087274217111
2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-0.7314529350454224
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002535910587071446
0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,-0.5507325414521566
0,0,4,0,0,0,0,0,0,4,1,0,0,0,0,0,-1.263442568855554
0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,-1.0222189938577835
4,0,0,0,3,1,0,0,0,4,1,0,1,0,0,0,1.1983315803062033
0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.3207000372067326
1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0.2326473127687652
0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,-0.1242922115631477
0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,-1.9757016530473819
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.400553812956027
0,0,0,0,0,0,0,2,2,0,0,4,0,1,0,3,1.169935228795029
0,0,1,0,0,3,0,0,0,0,3,0,0,0,0,2,0.6518112818145628
0,0,3,0,0,0,3,0,0,0,4,4,0,3,0,3,-1.8501433779650627
0,0,0,0,0,0,0,0,0,0,4,0,2,3,3,0,0.7242424013207547
3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.9767080403857605
3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.19133781026975674
0,1,0,0,1,0,0,1,0,4,0,0,4,0,2,0,1.0632552991405502
0,0,0,0,0,0,0,0,3,4,0,4,0,2,1,1,1.4550661313149829
