Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,target
0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,-0.9658548311901842
0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.662612854397772
0,0,0,0,0,0,1,1,0,4,1,0,2,0,0,0,-0.1043842167886913
0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0.7122514957480444
0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,-0.6984466664967812
0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,3,-0.06435305440943972
0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,-0.5903625280728048
0,0,0,2,0,2,0,0,3,2,0,0,0,0,3,2,0.8195350109244365
0,0,0,0,4,0,2,0,0,0,0,0,0,0,2,3,0.4072140384181472
1,0,0,1,0,0,0,0,3,4,0,0,3,0,0,2,0.6217810687709361
0,2,0,0,0,3,0,0,0,0,4,4,0,0,0,0,-0.290128810228418
1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,-0.7368765823808642
3,0,4,0,0,0,0,0,0,0,0,0,3,2,0,3,0.779503848545185
0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,-0.4014154416427363
0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,-1.053923388424535
1,0,0,0,0,3,3,4,3,0,4,0,0,0,0,0,1.0813388128847403
2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4,0.8803823777408981
0,0,0,1,0,3,0,0,3,0,0,4,0,4,0,1,0.3159429881934502
0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,-0.34136869807385894
0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,-0.52791391476117
1,4,1,0,4,0,0,0,2,4,0,0,0,0,0,0,0.19825137079845292
0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,2,-0.03232812450603574
2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0.3743884852671589
0,4,0,0,0,0,0,0,3,0,2,0,0,1,0,0,-0.3525774235400483
0,1,0,0,0,0,0,0,0,1,2,1,0,0,3,0,-0.6600167506127028
0,0,4,0,1,0,0,0,0,0,0,0,0,4,0,0,-0.9146149433447388
0,0,0,0,2,0,3,0,0,0,2,0,2,0,0,4,0.910806061149129
0,0,3,2,0,0,0,2,0,3,0,2,0,0,0,0,-0.06755554739977694
0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,-0.3653873955014108
0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,-1.0547240116721193
0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,-0.7520884240849797
0,0,0,2,0,0,0,0,0,0,2,2,3,0,1,1,0.6978402772915132
3,0,0,0,4,1,2,0,0,0,0,3,3,0,0,0,1.7090274389914073
0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-1.2140480379415413
0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,-0.30133753569460736
0,0,0,0,1,0,2,1,0,0,2,0,0,3,4,0,0.01170615411114189
1,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0,0.022914879577331237
0,3,4,0,0,0,3,1,0,4,0,0,0,4,0,0,0.6770240728543031
2,0,2,0,0,0,2,0,0,3,4,0,3,0,0,0,0.9844633999269531
0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,-0.2773188382670555
0,0,0,0,4,0,4,0,3,0,2,0,1,0,0,0,0.42482774986501554
4,0,0,0,0,1,0,0,1,0,4,3,0,0,0,0,0.38879970372369
0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,-0.6303936904520563
4,2,0,4,2,0,3,1,0,0,0,0,0,0,0,0,2.85231743654283
0,0,2,0,0,2,4,0,0,1,0,0,0,0,0,0,-0.27972070800981297
4,0,0,2,2,1,0,0,0,0,0,1,0,3,0,0,1.0765350733992298
0,0,0,0,2,0,0,1,0,0,1,0,0,0,3,1,-0.2941319264663395
0,2,0,2,0,2,1,0,0,1,0,1,0,0,0,0,-0.44064598077440353
0,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,-0.3661880187489951
0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0.08296162314620859
0,0,1,0,3,4,0,0,0,0,4,0,2,0,2,0,0.12939777150613913
4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0.07575601391794076
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,-1.0915526810610336
0,0,0,0,1,0,0,0,0,0,4,4,1,1,0,3,-0.023521268782599306
2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9796596604414428
2,0,0,3,0,0,3,0,3,0,2,0,0,0,0,0,0.8659711592843671
